date,price,Conventional Oil,Non-Conventional Oil,prod_change_conventional,price_change,price_lag_6,price_lag_12,prod_change
2024-02-01,74.36,2813978.5,15418785.6,-28774.899999999907,2.469999999999999,70.09,87.09,-504778.80000000075
2024-03-01,80.9,3065322.8,16843475.3,251344.2999999998,6.540000000000006,81.37,88.36,1424689.7000000011
2024-04-01,84.54,2953038.4,15775119.6,-112284.3999999999,3.6400000000000006,85.52,81.06,-1068355.7000000011
2024-05-01,80.7,3026526.5,15119196.2,73488.1000000001,-3.8400000000000034,81.05,76.34,-655923.4000000004
2024-07-01,84.7,3002514.8,16745104.3,-24011.700000000186,4.0,73.7,77.57,1625908.1000000015
2024-08-01,77.74,3096016.6,16831390.4,93501.80000000028,-6.960000000000008,71.89,75.65,86286.09999999776
2024-10-01,70.41,3205395.3,17377575.9,109378.69999999972,-7.329999999999998,74.36,70.09,546185.5
2024-11-01,69.81,3136128.8,16881392.8,-69266.5,-0.5999999999999943,80.9,81.37,-496183.09999999776
2025-01-01,72.44,3123735.7,17532598.5,-12393.099999999627,2.6299999999999955,84.54,85.52,651205.6999999993
2025-04-01,71.61,3154765.0,15931784.0,31029.299999999814,-0.8299999999999983,80.7,81.05,-1600814.5
2025-05-01,60.59,3198378.1,14575264.7,43613.10000000009,-11.019999999999996,84.7,73.7,-1356519.3000000007
2025-07-01,66.64,3165066.6,18097645.3,-33311.5,6.049999999999997,77.74,71.89,3522380.6000000015
2025-08-01,68.39,3183810.5,17662799.8,18743.899999999907,1.75,70.41,74.36,-434845.5
2025-09-01,64.36,3062725.8,17030025.6,-121084.70000000019,-4.030000000000001,69.81,80.9,-632774.1999999993
2025-10-01,62.59,3211750.9,17172423.0,149025.1000000001,-1.769999999999996,72.44,84.54,142397.3999999985
2025-12-01,59.47,3246489.3,18460827.5,34738.39999999991,-3.1200000000000045,71.61,80.7,1288404.5
2026-01-01,57.26,3240700.9,17518453.6,-5788.399999999907,-2.210000000000001,60.59,84.7,-942373.8999999985
